,Brands,Colors,Battery,Price,Original_price,Rating,Total_reviews,Discount
422,Inbase,"Black, True Wireless",,₹899,"₹2,499",3.6,(5),64% off
423,SONY,"White, True Wireless","('20hours', 'hours')","₹16,990","₹24,990",4.1,(512),32% off
424,TRIGGR,"Black, True Wireless",,₹898,"₹3,999",4,"(8,030)",77% off
425,soundcore,"White, True Wireless",,"₹7,999","₹11,999",4.8,(10),33% off
426,truke,"MintMist, True Wireless","('60H', 'H')",₹899,"₹2,999",4.1,"(17,106)",70% off
427,TRIGGR,"Azure Blue, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
428,HOUSE,"Black, True Wireless",,₹599,"₹1,999",4.1,(31),70% off
429,Mivi,"Aspiring Blue, True Wireless",,"₹2,199","₹6,499",4,(422),66% off
430,TRIGGR,"Punk Yellow, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
431,HOPPUP,"Blue, True Wireless","('40H', 'H')",₹599,"₹3,999",4.1,"(49,095)",85% off
432,ORAIMO,"White, True Wireless","('36H', 'H')","₹1,499","₹4,999",4,"(8,083)",70% off
433,Beats,"Matte Black, True Wireless",,"₹6,848","₹6,900",4,(74),
434,boAt,"White Sabre, True Wireless","('40 H', 'H')","₹1,599","₹5,990",4.2,"(2,351)",73% off
435,Beats,"Red, True Wireless",,"₹10,999","₹16,900",4,"(2,130)",34% off
436,Aroma,"Dazzling Black, True Wireless","('60H', 'H')",₹623,"₹2,899",4,(211),78% off
437,Number,"Glass Black, True Wireless",,₹799,"₹4,999",4,"(20,786)",84% off
438,HOPPUP,"Blue, True Wireless","('50H', 'H')",₹799,"₹4,999",4,"(1,003)",84% off
439,LAVA,"Blue, True Wireless",,"₹1,249","₹2,499",4.1,(15),50% off
